,commands
105750,"Now, if you'll excuse me, I'm gonna share this primo origin ish with my bride. Even the mintiest comic is just acidifying pulp if you have no one to read it with, right?"
105751,Nerds don't get girls!
105752,"These days they do, man. Comicon is now eight percent women."
105753,Wrong! Wrong! Wr-- or... is he?
105754,"C'mon, buddy. I gotta get home and climb into bed with my loving wife."
105755,"Oh right, you have a loving wife?"
105756,Marge and I get along perfect. We're like George Burns and John Denver.
105757,"Man, carrying these kids is hard on my back."
105758,And now to Moe's.
105759,"Look at him, he's got family... friends... what do I have? ""Jimmy Olsen versus Matter-Eater Lad."" Hm, better than I remembered actually. No! No, it isn't! It's horrible! The only thing that could make this moment more clichÃƒÂ©d is if I started to sing about my feelings... and here I go."
105760,I'VE ALWAYS BEEN HAPPY TO CALL MYSELF SINGLE / NO MARY JANE OR LOIS LANE WITH WHOM I'D COMINGLE...
105761,YOU COULD SAY THAT I WAS / AN UNSTACKABLE PRINGLE.
105762,I'VE GOT ORIGINALS SIGNED BY SIEGEL AND SCHUSTER / BUT THEY DON'T SATISFY IN THE WAY THAT THEY USE-TER.
105763,IT REALLY DON'T MATTER IF YOU'VE GOT A CAP ANSON /
105764,IF YOU SPEND YOUR NIGHTS IN YOUR UNDERWEAR PRANCIN' / WITH A CARDBOARD STANDEE OF SCARLETT JOHANNSON!
105765,"GUESS I'VE ALWAYS BEEN LONELY, BUT I'VE NEVER REVEALED IT. / DROPPED MY HEART INTO MYLAR, AND THEN VACUUM SEALED IT."
105766,Stan Lee! Or... is it my imagination?
105767,I'm your imagination. The real Stan Lee's over there.
105768,"But listen: as comic book guys go, you're trim, friendly and quite a catch."
105769,But now your opportunity is knocking.
105770,Don't let it slip by.
105771,Can you help me?
105772,I can only watch. I cannot interfere.
105773,"New Radioactive Man number one, please."
105774,"Come on, Nudnick. Ask her out."
105775,You're interfering!
105776,"Hey, I'm ninety years old. I can do what I want."
105777,"Um, er, stammer, eh... can I sign you up for our frequent buyer's club -- ""The Just Us League?"""
105778,You would be Member Number zero zero three. I am the first two.
105779,Sure. I am Kumiko Nakamura from Osaka.
105780,I'm visiting America's saddest cities as research for my autobiographical manga.
105781,"Volume six: ""Springfield: Land of Angry Tears""!"
105782,That's you. The man with sparkling eyes and zigzag beard.
105783,You've seen me before?
105784,"Yes, through window. But you don't see me. You're either looking down in disgust or up in disdain. I think you have great soul."
105785,Would you permit me to go in the back and do a brief inventory?
105786,She tolerates me!
105787,It is the perfect time.
105788,Bart! Your comic vendor's here!
105789,"Actually, it is you that I am here to see. I, um, I need your help... in getting ready for a date. The closest thing I have to a father is the Obi-Wan doll in my store. And he comes from a race of celibate knights, so..."
105790,I will help you. As long as our bellies never touch again like they are right now.
105791,But why pick me?
105792,Because you're the only fat man in real life who ever got a hot woman.
105793,"Well, come in! I'll explain how it all works. Okay, it helps if she's got a mother she's trying to get back at."
105794,No woman will be able to resist you dressed like this.
105795,"Now remember, don't be the way you normally are, and sustain that for the rest of your life."
105796,"Kumiko, meet my dear friends, Homer and Marge Simpson. In my country it is a tradition to bring a much older couple on a first date. It is not in any way weird or sad."
105797,Does anyone tell you that you look like the man on a box of Mr. Sparkle?
105798,Aka ni taishte burei da! Yogore o yaburu!
105799,"In Japan, drinking your detergent is a popular method of suicide!"
105800,Honki da yo?!
105801,"Kumiko, for you we chose the coolest restaurant in town."
105802,But the walls are covered with garbage.
105803,"Not garbage, Americana."
105804,Here's some more Americana that bubbled up in the swamp.
105805,"Here you go! Your all-American, fifty-state potato skin sampler!"
105806,"Okay, Wisconsin, cheddar. Maryland, blue crab..."
105807,They're neither in alphabetical nor geographical order! What madness is this?!
105808,"Please, sir, ask your questions after all fifty ""tates""!"
105809,I cannot hide the snide inside!
105810,"I don't mind. If you think it's stupid, say it's stupid."
105811,"In Japan, no one ever says what they think. We know our game shows are degrading and our baseball fences are too close. But no one says anything."
105812,"Attention restaurateurs! You should've spent less on the kitsch and more on the kitchen! With this bowl of Chuck's Cherokee Salsa, I baptize you mediocre at best!"
105813,American nerd snark is the finest in the world. Let's go walking and mocking in the rain.
105814,I'm in love! And yet still a little bitter. It's surprising.
105815,"Father, why-sa you-sa forsake-a me-sa?"
105816,Enough nonsense! I came here for my daughter!
105817,you have nurtured our love like Steven Spielberg nurtured the careers of Zemeckis and Gale...
105818,"So we want you to know I have decided to move in, to the basement under his store."
105819,"At last we'll be in the same bed, just like Batman and Robin."
105820,I want you to take Kumiko and Comic Book Guy a housewarming present... and maybe check in on them?
105821,"We've talked about this, Marge. The hammock is a chore-free zone."
105822,Apparently including tying the knots on the hammock.
105823,And getting the termites out of the trees.
105824,Not a word.
105825,"Excuse me, sir, I am looking for my daughter. I thought this was her residence, but all I see is a store full of non-pornographic manga."
105826,"You're Kumiko's father? Welcome, sensei!"
105827,"I am not Kung Fu instructor. I am humble salaryman who could kick your ass. Say, has anyone told you you look like--"
105828,"I know, Mr. Sparkle."
105829,"I was going to say, like you're going to have a stroke."
105830,I get that a lot too.
105831,"Now please, where is my daughter?"
105832,"Okay, she moved in with her boyfriend. Well, he's not a boy. He's immature, but fat and old."
105833,"So, an obese nerd has stolen my daughter to live in his basement?!"
105834,I didn't tell you about the basement.
105835,It was an obvious guess!
105836,"Daughter, you are coming back to Japan! There are eighty-seven old people who need you to take care of them."
105837,No! Please! Please! I was becoming cuddly! I deleted rants from my blog!
105838,You can retrieve rants if you did not empty your trash. Goodbye!
105839,"Now I know I've got a heart, because it's breaking. Wizard of Oz reference! Did I do that? Urkel reference! Help me. Fly reference! I can't stop. I can't stop."
105840,Homer  this was your doing. And I want you to fix it!
105841,I have a bad feeling about this. Every-action-movie-ever-made reference!
105842,we have much in common. We both love our daughters and discipline our sons.
105843,"No, discipline would imply I'm trying to make him better... so, are you married?"
105844,My dear Michiko has passed away but she is always with me.
105845,You promised double suicide!
105846,You hear what you want to hear!
105847,Always with me. Another drink! Something stronger!
105848,Snake rice wine.
105849,Now that's disgusting. Wine made of rice?
105850,Try some.
105851,Why didn't I stop with the snake wine? Why did I drink the fish wine?
105852,That was the aquarium!
105853,You didn't see nothin'. Scram!
105854,I am ruined by whimsy!
105855,"The good thing is, soon I'll be a beautiful swan."
105856,We'll explain it!
105857,The rice wine has penetrated to the essence of your souls.
105858,"Yeah, listen to my tail."
105859,You're the tail!
105860,"No, you're the tail!"
105861,"Dad, Bart's feet are on my half of the shell!"
105862,Why you slimy little...!?
105863,"Hey, that actually feels good!"
105864,"Oh yeah, more. A little bit more. Right there. Oh yeah. Oh yeah, that's the stuff!"
105865,"I AM A GOLDEN BIRD / AND I LOVE THE COMIC NERD / OF THIS I WON'T BE CURED / PAPA SAN, PAPA SAN..."
105866,The monster is me! Who'da thunk it?!
105867,drinking that snake wine and going to White Castle afterwards really opened my eyes.
105868,"Mister Nakamura, I have used my hitherto unmentioned chemical engineering degree to get a real job, at the Springfield Phosphate Works."
105869,They're giant polluters but the C.E.O. is a woman. It's very vexing.
105870,"Now, have I proven myself worthy of your daughter?"
105871,You were worthy... the way you were.
105872,I was? But I rented the store! I ebayed my stool!
105873,Cancel the sale!
105874,But then my seller rating will go down!
105875,Stop being nerd!
105876,"Yes, Papa-san."
105877,"Geekly beloved, we're gathered here in the eyes of me, king of the cameo, Stan Lee, to celebrate the wedding of Comic Book Guy and Kumiko Nakamura. Does anyone wish to offer any thoughts on this blessed occasion?"
105878,"Yes, I would like to say something. Since I met Kumiko, strangely, comic books no longer seem so important. I will also be selling greeting cards. Every day I will give one to Kumiko in commemoration of today with the salutation ""Best. Day. Ever."""
105879,"Ghost wife, are you happy?"
105880,Kind of!
105881,How long am I gonna stay this way?
105882,As long as we keep drinking this.
105883,Give us your eggs.
105884,I'm a boy!
105885,We said eggs!
105886,GLOWING RODS / GLOWING RODS / IT'S MAKING ME / WEAK AND DIZZY...
105887,Rumor has it they're about to give out the company Christmas gifts.
105888,I got an in. The V.P. of Personnel is doing my girlfriend.
105889,"Look at you, Mr. Connected."
105890,I hope it's better than last year's lousy gift.
105891,"Yeah, what a rip."
105892,Remember this gift?
105893,The executive stress ball.
105894,One more squeeze and you're fired!
105895,Now-I-feel-more-stressed-than-ever! Gah!
105896,Excellent! Excellent! Excellent!
105897,You don't look so excellent to me.
105898,Ho-ho humbug! Santa Claus approaches to judge and punish!
105899,"Wow, a good gift for once!"
105900,Oogle Goggles. Augmented Reality Glasses.
105901,"You wear them like eyeglasses, but inside the lens, you see information about the people and places around you."
105902,Finally I'm not a slave to my stupid human eyeballs!
105903,Glasses! Call Lenny!
105904,I'm getting a call! Answer call! Hello?
105905,"Lenny! It's me, Homer!"
105906,Huh. I always thought it was Simpsen.
105907,Really? Don't you ever look up at the sky?
105908,I always wondered what that was.
105909,"Sir, I'm concerned about your sudden generosity. The doctor said to bring you in right away if you display kindness or warmth."
105910,Don't worry. This Santa still has claws!
105911,"As of now, each of those nuclear nitwits is wearing a video camera -- with a direct feed to me."
105912,You're spying on them!
105913,Smithers... how much did this company lose to office supply theft last year?
105914,"Seven thousand, forty-three dollars."
105915,"Yes, well, no more of that... thanks to this twenty-six million dollar surveillance system! Beware, rabbits... I spy with my transplanted eyes! Oh, and I forgot to show you the best feature!"
105916,"Each of these buttons represent an employee. When I press it, he or she dies."
105917,What's wrong with this thing?
105918,"Now, remember kids, the school says you must have a valentine card for everyone in your class."
105919,How does this mean anything when everyone's forced to do it?
105920,What did I say about pointing out the meaninglessness of things?
105921,Not to.
105922,"Well, no way I'm giving a valentine to Nelson. He's a bully, and I do not love him."
105923,Jesus says to love your enemies.
105924,"That's because Jesus knows one day he gets to look his enemies in the eye and say: ""It was me who sent you to Hell."""
105925,your school requires you to give everyone a Valentine card in an envelope with a fun sticker. Your teacher put out an email alert... with a video attachment.
105926,"Welcome to Firstline. Tonight: Valentine's Day: Always A Massacre."" At this school, children may give valentines to whomever they choose. Danny is unpopular, due to rumors he sleeps in the raw with his ma and his pa."
105927,"Human young are born with the ability to count valentines, and Danny realizes he's been snubbed."
105928,"Past generations of children were used to rejection. But today's kids, raised in a climate of video games and instant messaging, are fragile weirdoes."
105929,"On February fifteenth, two a.m., after checking the mailbox one last time, Danny nearly died from an overdose of little candy hearts."
105930,"Many of history's monsters never received a valentine: Attila the Hun. Mao Tse Tung. And me, Will Lyman. This is Firstline."
105931,"Fine, Nelson gets a valentine. An old one from the box."
105932,"Perfect. Bad movie, bad pun, even bad paper stock."
105933,I'm watching videos of idiots wearing these glasses and not paying attention to the world around them.
105934,Look at these jerks.
105935,"I don't understand what's so great about these state of the art, solar-powered, computo-glasses."
105936,"I'll let you try them on, right after I decide if these videos are ""Funny Or Die"". Funny, funny, die, die, funny, funny but the guy died..."
105937,"Now, a simple Sunday drive will reveal the hidden wonders of our hometown!"
105938,"Springfield City Hall was built for the Spencer Tracy movie ""Meet Me At City Hall"". It was just a flat wall with nothing behind it for thirty years..."
105939,Dad! Bart's on my side of the seat!
105940,Da-ad! Lisa's my little sister!
105941,The rearview mirror was invented in nineteen eleven for just this reason...
105942,"Interesting. When was the term ""shut up"" invented?"
105943,"As early as eighteen fifty-nine, ""shut up"" was used to shut up..."
105944,"Homie, I think the kids are just hungry."
105945,"Glasses, direct me to the nicest restaurant I can afford."
105946,Accessing soup kitchens...
105947,"That's it, I'm taking you off."
105948,"I'm sorry, sir."
105949,"Okay, let's see what we've got here."
105950,"Squeeze here. Rotate there. Pause for sweet talk. Oh glasses, you're so wonderful."
105951,Are you using your glasses for snuggling?!
105952,Where's my money?
105953,But the avatar looks just like you!
105954,I'm afraid wives don't make passes at husbands in those glasses.
105955,"Glasses, find me a great gift for my wife. Under five dollars."
105956,"Glasses, take me two minutes back in time."
105957,About the glasses...
105958,"I'm really sorry, and..."
105959,Here's your breakfast.
105960,Only five pancakes? You're trying to kill me!
105961,"Well, I'm not happy with you."
105962,"Look, honey, I know these glasses are a radical new technology and should be worn in moderation. Isn't that right, glasses?"
105963,Yes. Just like I told you.
105964,"Anyway, I'm giving them up... ...to whoever dares take them."
105965,"Aw, come on, Mom!"
105966,For once I'm grabbing the goody.
105967,So the rumors are true: Moms can want things.
105968,"Nicely done, Lewis... A Transformer that transforms into a heart? I LOVE IT!"
105969,This Hershey's Kiss is melted! Not good.
105970,My Mom left it on the dashboard... my Mommm!
105971,"I'll have yours now, Simpson."
105972,In Ga'hoole we would break his frickin' knees.
105973,"No. No valentine for you, Nelson."
105974,I'll give a valentine to a loser. I'll give a valentine to a dork. I'll even give a valentine to a girl. But I won't give a valentine to a bully.
105975,there's gonna be a heart in my hand. Either paper... or yours.
105976,"That's strange. I'm hearing a voice, but I'm not seeing a user icon."
105977,"Carl, it's me! I'm here! Really here!"
105978,"Hey, Homer! A lot of information about you. Let me just page through it."
105979,What! No one can live in a non-augmented reality! I need another pair of glasses!
105980,"Charlie, your move in Muppet Chess."
105981,Gonzo to Fozzie Seven.
105982,That's Kermit mate!
105983,Wocka wocka!
105984,Why is it the recipe card you need is always the one Homer writes his cocktail ideas on?
105985,Maybe these bleep-bloop glasses can help.
105986,"Okay, Marge  entering the Matrix, for a brownie recipe."
105987,Here are my top-rated recipes.
105988,"Ooo... So many choices, Maggie."
105989,"Um, Mr. Burns, sir? Can I get another pair of glasses? Maybe two pair. One for the beach house. Can I also get a beach house? Two beach houses..."
105990,What the-- Burns gave us those glasses so he could spy on us!
105991,This is a violation of our human rights.
105992,"Okay, so let's see what we can see!"
105993,"Solitaire, top hats on eBay, Angry Birds fan fiction...guy doing really easy crossword puzzle...Lenny doing Carl's clown makeup."
105994,...someone's actually working...
105995,Who's mommy's little girl? Genealogy dot org says you are. You are!
105996,"Awww... Wait a minute... since Marge is wearing my glasses, I can see everything she sees. Uh-uh, I shouldn't watch this."
105997,Such a good baby! You deserve some ice cream.
105998,Wait a minute. Marge said we were out of ice cream.
105999,What else is Marge hiding from me?
106000,"Maggie, he's here!"
106001,Is she having an affair?
106002,Thanks for asking me to lunch.
106003,Why isn't she having an affair?
106004,"What about a valentine that says: ""Bully, For You?"""
106005,"Hmm, interesting."
106006,"Interesting means ""no."""
106007,Interesting means no...  you're a genius!
106008,I am? What did I say?
106009,"Nothing. On TV, when a guy says something lame, another guy says he's a genius, and then he has an idea. I thought it might work for me."
106010,"Well, you called me a genius. That means a lot."
106011,I hate this stupid holiday! The only thing you can do is screw it up. That's it!  you're a genius!
106012,"Well if you keep throwing the word around, it means nothing."
106013,Who are you?!
106014,"I'm so sorry, Mr. Burns. I won't disturb you again."
106015,that's a compact-only space!
106016,"Well, who knew you were such a rebel? Now, let's learn more about my wife's secret life. Secrets which can only be good."
106017,Hi  Dr. Carlock is ready for you.
106018,So  how have you been?
106019,"Okay, I guess."
106020,Marge is in therapy?
106021,"I hate when I come here and the first word out of my mouth is Homer. But here we go. Again. Homer was converting our dollars to gyros... not the money, the sandwich..."
106022,And has there been any improvement in Homer's drinking?
106023,"Well, he's down to two beers in the shower..."
106024,Pale ales. Please.
106025,"Well, maybe if you just concentrate on one problem, like his temper."
106026,Everything in the newspaper makes him mad.
106027,Not Marmaduke! Never Marmaduke!
106028,"Marmaduke was horrible today! Also, Marge is in therapy and she didn't even tell me!"
106029,Whoa. She has crossed a line. How did you find out?
106030,"Spied on her with a hidden camera. She thinks I'm selfish, she thinks I don't spend enough time with the kids..."
106031,"What? That's crazy! Come on, you work your butt off in a radioactive hellhole, and what do you get? Not one lousy superpower!"
106032,I guess the only choice is to come clean and tell her what I know... and how I know.
106033,"Whoa-ho, bad idea! No, no. Chicks do not like finding out they're being spied on. I speak from looooooooooooooooooong experience. Now, you gotta make it seem like you found out by accident there. Ooh! Next week youse schedule an appointment with the therapist, after hers, and then you ""bump into"" Midge in the waitin' room, there."
106034,"Moe, that's great. How do you get your ideas?"
106035,Pretty much all my friends are divorced guys.
106036,"Hello, Homie! Dinner's almost ready! Pork chops with my secret seasoning!"
106037,"Yeah, you do like your secrets, don't you, Marge?"
106038,"Don't lose your cool, Homer. The building block of a marriage is long silence. Hey, where'd she go?"
106039,"Good, good, you held your tongue. Because... hey, where'd you go?"
106040,Doesn't anybody want me to give 'em advice?
106041,"Okay there, Fido. When you see that squirrel outside, at first, you play it cool, you understand?"
106042,I fear you? This is what Valentine's Day means to you?
106043,"This is what it means to everyone. How can you be forced to say ""I love you?"" People only give valentines because they're scared of what would happen if they didn't."
106044,"Nelson, you frighten me so / The psycho-est bully I know / You're a sociopath / in need of a bath / I'm sure you'll wind up on Death Row."
106045,"Mm, you can really smell the fear on this."
106046,I rubbed it on Milhouse.
106047,you just touched my heart's butt!
106048,Why are you hugging yourself? Why are you hugging yourself?...
106049,"If Nelson doesn't do something bully-ish in two seconds, I'm gonna wedgie him."
106050,Nelson doesn't wear underwear.
106051,Wow. Always one step ahead.
106052,"Uh, I'm here to check in for the three o'clock."
106053,"Please fill out these forms, Mr. Fakinami."
106054,"That's ""Fake Name."""
106055,I'll just call you Elias.
106056,"That's ""Alias."" Du-uh."
106057,"Same time next week, Marge?"
106058,"Oh, absolutely. These sessions keep me on an even keel."
106059,Dr. Carlock is like my Wednesday reset button.
106060,Oh my God... Marge needs this. It lights her way through the dark path of marriage to me.
106061,"Come on in, Mr. Fakinami."
106062,No need. Everything's fine.
106063,I'm sorry. But there are no cancellations within twenty-four hours.
106064,"Well, as long as I'm paying for the time..."
106065,"Ow! Where'd you learn to cut hair, idiot?"
106066,"You know, you have some anger issues."
106067,"Oh I forgot to tell you, Homie! I bumped into Helen Lovejoy today, and guess what?"
106068,"I don't need to know, Marge. You deserve to have your secrets."
106069,It's not a secret. It's a funny story.
106070,"Okay, Marge. But first, well, I have something I need to tell you. Something I did you might be mad about, and rightly so."
106071,"Oh, I bet my story's more interesting."
106072,Woo-hoo! I tried! Okay.
106073,"Okay, so Helen Lovejoy told me that she made her famous snicker doodle Bundt cake for the church sale, and she put in salt instead of sugar!"
106074,Yeah. And?
106075,That's it. That was the story.
106076,Where's that cake now?
106077,It got sold.
106078,Who bought it?
106079,Dr. Hibbert.
106080,Excuse me. I have to make a call.
106081,Don't take too long!
106082,"Okay, Hibbert's in surgery, but they're having him paged."
106083,"Wait, something's wrong. That's better."
106084,"Hi, Ralph... um, I just wanted to tell you there was a tooth in the valentine you gave me."
106085,Plant it and you'll grow a new Ralph!
106086,"I don't need a new Ralph, I like the old one. Happy Valentine's Day!"
106087,"Well, better get ready for St. Patrick's!"
106088,"...And it's for all these reasons, and more, that the Kingdom of Moab is the least interesting in the Bible. Amen."
106089,Amen! We're done!
106090,Allow me to introduce our guest speaker...
106091,"...from our ill-advised mission in Indonesia, the Rev. Kartawijaya."
106092,"I know how you feel, young man!"
106093,"The children in my village are just like you. One boy, named Sumadi, never comes to church."
106094,"He is always tying the monkeys' tails together and yelling ""tiger is gone"" when in fact the tiger is there."
106095,"Unfortunately, Sumadi is sick now."
106096,What?! Sumadi has a problem?
106097,"Sumadi... and others equally doe-eyed... need urgent medical treatment. After all, we are all just children of Allah. I mean, God. Sorry, recent convert."
106098,Poor Sumadi. Born in such a terrible country.
106099,"But, good news. To help him we will now have a second collection."
106100,Wasn't our sympathetic nodding enough?
106101,"Mom, can I have some money?"
106102,"I'm sorry, honey. I'm all out. I spent all I had lighting that candle for Great Aunt Betty."
106103,I hope that wasn't somebody's Aunt Betty or something.
106104,Dad? Please? For Sumadi?
106105,"Sorry son, I only have twenties. And if God needs money, why doesn't he just write another Bible? The first one sold pretty well."
106106,Does anyone remember when it was considered rude to talk in church?
106107,"Pipe down, Ned."
106108,"All right, son... but you have to pay me back."
106109,Life is good.
106110,Do you have my money?
106111,How could I?
106112,"Right, right, too soon. Do you have my money?"
106113,"Seriously, do you have my money?"
106114,Where's... my... mon... ey?
106115,"It's been a rough patch, man. Hope you got something to cheer me up."
106116,"Well, there is one fun fact I've been saving for an emergency situation. Did you know there really was a Duncan Hines?"
106117,"Where's my money? Do you have my money? Where is it? You know, if you had the money, I'm right here. Do you have the money?"
106118,quit badgering the boy.
106119,"Pressure's how you make your beloved diamonds, Marge."
106120,I don't have any diamonds.
106121,Quit pressuring me!
106122,"Money, money. I need money!"
106123,Would you eat anything for money?
106124,I guess. Who are you?
106125,"School play. ""Damn Yankees."""
106126,Children of the playground! I will eat anything for money! Except money!
106127,I'll give you a quarter if you eat my gum.
106128,I'll give you another if you eat mine!
106129,Here's some orthodontic wax!
106130,And thome thinnamon!
106131,St. John's Wort!
106132,And here's something that'll make you forget about the other stuff.
106133,"Ay carumba. So, what else ya got?"
106134,"All right, Simpson. Twenty big ones says you're not messed-up enough to eat... this!"
106135,No  no. Do it and you'll always be known as the kid who ate the dead frog.
106136,Where's my money! Get my money! Money-money-money-money-money...
106137,Easiest money I ever...
106138,I like the lack of attention. Especially in here.
106139,"Son, by rights I should be playing banjo at your funeral. That frog was filled to the gills with formaldehyde, a highly toxic poison."
106140,"Here's your money, dad."
106141,What? Did you owe me some money?
106142,And  here's your bill for four thousand dollars.
106143,"Where's my money? You got my money? Where's my money? Seriously, where's my money?"
106144,Ew! It's the kid who ate the dead frog.
106145,That's someone who eats plants.
106146,I named the frog Herb!
106147,Even you won't sit with me?
106148,"if you sit here, I'll be the boy who sat next to the boy who ate the frog. And I'm already the boy who shared a comb with a boy who threw up on the boy who wet his pants at the winter carnival. P.S. I would've given you the money."
106149,What's the matter? Frog in your throat?
106150,You're the ones that paid me to eat it.
106151,"All we hear is ribbit, ribbit!"
106152,You said this was a simple bullying job!
106153,"Diggs and Freedom, at your service. Diggs is short for Digby."
106154,Thanks. I'm the kid that ate the frog.
106155,"Oh, so you're the reason I had to dissect a Muppet in biology today."
106156,"Thanks for the help, man."
106157,"Oh, you're welcome. At least, from me. There's no way to say what the bird thinks, or even if he thinks, really."
106158,Wait! Wait! Wait! Who the hell are you?
106159,I transferred here a few months ago.
106160,To this school? On purpose? Even after Springfield Montessori opened across the street?
106161,That place is really in your face.
106162,This school has a falconry club? No way.
106163,I resuscitated it.
106164,"I'm president, secretary-treasurer, and faculty adviser. That took a lot of fancy paperwork but it was worth it to be left alone."
106165,Can I join?
106166,"Hmm, I'll have to check with Freedom."
106167,Habemus Papam! We have a poop! It's white! You're in!
106168,Looks like the falconry club's back from the dead!
106169,Can the Esperanto Society be far behind? I mean... Ã„Ë†u la Esperanto-Societo esti multe malantaÃ…Â­?
106170,Two languages and somehow no one will talk to you.
106171,Ã„Å“i estas vera. Mi tre soleca.
106172,The first thing to learn about falcons is how beautiful they are in flight.
106173,"Don't fret, he'll be back."
106174,There's my Sky Gramma!
106175,"Bart's usually first in line for Taco night, but now he's ""muy tarde."" Is it all right to say ""tarde?"""
106176,"Hey, you've said it twice, Marge. You're in pretty deep."
106177,Ten minute rule.
106178,What? A rule's a rule.
106179,He is just riding that thermal.
106180,You were right about watching him fly.
106181,"I thought you'd get it. Seat-backs and tray tables, Bart. We're coming in for a landing!"
106182,Wow. You don't know how impressive that is to a boy whose dad can't even get the dog to sit.
106183,Sit. Sit. Sit! Sit! SIT!!!
106184,"I don't know what that is, but it's not sitting!"
106185,Where could Bart be?
106186,"Hey, I'm not flying anywhere with this broken wing."
106187,I saw him heading across the field after school with a kid a little bit older and undoubtedly wiser.
106188,"Oh, I know what that means. There comes a time when a boy sneaks his first beer. Finally! I was beginning to think that kid was a teetotaler."
106189,Bart  at your service.
106190,"More like ""at your six-pack,"" am I right? It's okay if you need to take a little nap."
106191,Why would I want a nap?
106192,Because you're so drunk you can barely keep it together!
106193,I wasn't drinking. I was learning that nature isn't a complete waste of space.
106194,That doesn't sound like you.
106195,But it does sound like the kind of lie you'd make up after the first time you got blitzed.
106196,"I met this kid. A little older, kind of strange. I don't think other people get him, but I just wanna hang out with him all the time."
106197,It's even better than I thought... you've found your Moe Szyslak! In just a few short years you'll be getting your version of baked on your version of pot listening to your version of Journey.
106198,What's he doing?
106199,"Now when he lands, you'll feed him, so he has positive associations with you."
106200,Don't worry. He's only bitten off one of my fingers.
106201,Just goofing on you. This is the finger he bit off.
106202,"If he starts to carry you off, slip out of the glove. Now tell him to fly."
106203,"Fly! Fly! C'mon, man! Do the wing thing!"
106204,I did it! He did it! We did it!
106205,"Yes,  that is how you conjugate the verb ""to do."" Well done."
106206,Hey! Bring back my bling!
106207,Give that back! All I've got is a hole in my face!
106208,Uncle Krusty's back!
106209,Whoa! Did you teach him to do that?
106210,I get it. It sucks. Really sucks.
106211,Nobody could communicate that -- except maybe Gerard Manley Hopkins:
106212,"""I caught this morning morning's minion, kingdom of daylight's dauphin, dapple-dawn-drawn Falcon, in his riding / Of the rolling level underneath him steady air, and striding / High there, how he rung upon the rein of a wimpling wing!"""
106213,I've already eaten.
106214,"Hey, you want to see something really cool?"
106215,Is a falcon's training leash called a creance? Yes!
106216,Say something so I'll know you're not hurt.
106217,I'm really hurt.
106218,"Bartholomew! Good to see you, old sport. Where's Freedom?"
106219,"Well... my Dad said don't bring home anymore dogs, cats, turtles or snakes, but he never said anything about predatory birds."
106220,"Okay. In your terms, points are like mice."
106221,Don't interrupt! I just thought it would be nice if we shared an interest.
106222,You Korean girls know what a soldier likes.
106223,Fine! But the game is much more enjoyable if you understand it.
106224,"Look, the Eagles and the Falcons. Tell me you're not interested in that."
106225,I could fly too if I didn't have a wife and three kids!
106226,"Hey, you've had a lot of visitors."
106227,"No, I signed them myself. They're people I would've liked to come visit."
106228,Listen... what happened in that tree?
106229,"Um... you want the truth? Of course you do. You're like Diogenes, but with slingshot in place of lamp."
106230,I wanted to fly.
106231,"I know it sounds a little crazy now, but I suddenly thought maybe we can all fly, but somehow we've forgotten that we can."
106232,"You don't still think that, do you?"
106233,here's another doctor that would like a few words with this young man.
106234,This hospital has another doctor?
106235,So they're transferring him to another hospital.
106236,"Well, I hope he gets out soon and takes his bird back. I don't care for how it circles the cat."
106237,He's just riding the thermals from Dad's butt.
106238,At least someone in this family is using them.
106239,I never heard of this new hospital so I looked it up and printed it out.
106240,Can I visit him tomorrow?
106241,I don't know Bart. This is one of those... Arkham Asylum-type hospitals.
106242,Diggs isn't cuckoo!
106243,"Uh, listen, boy... maybe you should spend more time with your old best friend. You know, Dweebler."
106244,Milhouse abandoned me.
106245,"So, why can't I go there?"
106246,"if this is what I think it is, it's not a place we should ever, ever take a little boy."
106247,Then why is Diggs there?
106248,Because it's his home forever.
106249,"You know,  just because Diggs is a little different doesn't mean he's not a good person."
106250,What would you know about friends like Diggs?
106251,I have about eight of them.
106252,So how do we fix him?
106253,"Oh, Bart... Diggs' problems don't have easy fixes."
106254,What kind of cheer-up talk is this?
106255,Well... sometimes it helps to know people feel for you. Want a hug?
106256,You hug the bedpost. Then I hug the bedpost. That way we never hug each other.
106257,"Hey, Simpson. I heard bird boy got a new cage -- one with rubber bars."
106258,"Yeah, and a rubber perch!"
106259,"Yeah, yeah, and a..."
106260,...rubber birdfeeder.
106261,Making fun of the mentally ill. Real classy.
106262,But you guys were...
106263,"We were what, Captain Sensitive?"
106264,The rumors of my bonkertude have been greatly exaggerated. D.S.M. Five indicates paranoid schizophrenia. But that work is mired in controversy. Mired.
106265,I knew you'd escape! Were you carried out by a flock of falcons?
106266,I got a one-day pass.
106267,Were falcons involved in any way?
106268,"I obtained the pass to enter the Springfield Falconry Contest, which is what Freedom and I were training for when we first met you."
106269,"Great. Before anything else, let me just get closer to the door and say ""how crazy are you""?"
106270,I'm fine. My meds won't wear off till tonight. Then I'll have Freedom tear you to shreds.
106271,"No offense, but when a crazy guy pretends to be crazy, it's not funny."
106272,You're discounting all talk radio.
106273,"Fly my pet! Fly! Yes! Yes, now back to papa! Yes."
106274,Why am I not surprised the only sport you do is one where a bird brings you food?
106275,A falcon's greatest joy is to serve its master.
106276,Once again I must point out you are not a parrot.
106277,Fatso! Fatso! Pees in the shower!
106278,"We're up next. When Freedom hits the air, you and I open all the cages."
